Field,Value
Born,"Alan Mathison Turing ( 1912-06-23 ) 23 June 1912 Maida Vale , London, England"
Died,"7 June 1954 (1954-06-07) (aged 41) Wilmslow , Cheshire, England"
Cause of death,Cyanide poisoning as an act of suicide [ note 1 ]
Alma mater,University of Cambridge ( MA ) Princeton University ( PhD )
Known for,"Cryptanalysis of the Enigma Turing's proof Turing machine Turing test unorganised machine Turing pattern Turing reduction "" The Chemical Basis of Morphogenesis "" Turing paradox"
Awards,Smith's Prize (1936)
Fields,Logic mathematics cryptanalysis computer science mathematical and theoretical biology [ 1 ]
Institutions,University of Manchester Government Code and Cypher School National Physical Laboratory
Thesis,Systems of Logic Based on Ordinals (1938)
Doctoral advisor,Alonzo Church [ 2 ]
Doctoral students,Robin Gandy [ 2 ] [ 3 ] Beatrice Worsley [ 4 ]
